city,year,income,expend,gdp,deposit,gap,gap_to_gdp
上海,2024,8374.17,9874.84,53759.5,63910.99,1500.67,0.027914508133446182
上海,2023,8312.5,9638.51,51404.5,58319.93,1326.0100000000002,0.02579560155239328
上海,2022,7608.0,9393.0,48594.5,52638.0,1785.0,0.03673255203778206
上海,2021,7771.8,8430.86,47059.4,41150.4,659.0600000000004,0.014004853440545362
上海,2020,7046.3,8102.11,41603.9,36733.97,1055.8099999999995,0.025377668920461772
上海,2019,7165.1,8179.28,40241.2,31727.73,1014.1799999999994,0.02520252875162767
上海,2018,7108.15,8351.54,37769.1,27071.74,1243.3900000000012,0.03292082681345336
上海,2017,6642.26,7547.62,34378.3,24338.48,905.3599999999997,0.026335217273687168
上海,2016,6406.13,6918.94,30963.9,23639.8,512.8099999999995,0.01656154424991682
上海,2015,5519.5,6191.56,27821.6,23384.73,672.0600000000004,0.02415605141329041
上海,2014,4585.55,4923.44,25964.5,21269.3,337.8899999999994,0.013013537714956938
上海,2013,4109.51,4528.61,23809.4,20486.25,419.09999999999945,0.01760229153191594
上海,2012,3743.71,4184.02,21774.9,19506.7,440.3100000000004,0.02022098838571017
上海,2011,3429.83,3914.88,20406.1,17288.45,485.0500000000002,0.023769853132151672
上海,2010,2873.58,3302.89,18319.6,15650.24,429.30999999999995,0.023434463634577175
上海,2009,2540.3,2989.65,16181.4,13707.32,449.3499999999999,0.027769537864461662
上海,2008,2358.75,2593.92,14877.1,11464.15,235.17000000000007,0.015807516249806756
上海,2007,2074.48,2181.68,13179.8,8745.22,107.19999999999982,0.00813365908435635
上海,2006,1576.07,1795.57,10825.4,8730.0,219.5,0.020276387015722284
乌鲁木齐,2024,371.3,465.52,4502.16,5905.76,94.21999999999997,0.020927732466193998
乌鲁木齐,2023,369.79,504.05,4168.0,5306.0,134.26,0.03221209213051823
乌鲁木齐,2022,314.82,455.77,3893.22,4647.52,140.95,0.0362039648414423
乌鲁木齐,2021,377.93,419.59,3691.57,4027.86,41.65999999999997,0.011285171349859265
乌鲁木齐,2020,392.64,536.87,3337.0,3680.28,144.23000000000002,0.043221456397962245
乌鲁木齐,2019,472.46,620.28,3413.0,3171.71,147.82,0.04331087020216818
乌鲁木齐,2018,458.28,659.79,3099.77,2871.11,201.51,0.06500804898427948
乌鲁木齐,2017,400.78,458.58,2743.82,2600.39,57.80000000000001,0.02106552179078803
乌鲁木齐,2016,369.67,417.56,2458.98,2295.69,47.889999999999986,0.019475554904879254
乌鲁木齐,2015,368.67,446.66,2631.64,2157.31,77.99000000000001,0.029635512456111023
