数据库：主要城市年度数据
指标：地方一般公共预算支出(亿元)
时间：最近20年
地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京,,8396.49,7971.25,7469.15,7205.12,7116.18,7408.19,7471.43,6824.53,6406.77,5737.70,4524.67,4173.66,3685.31,3245.23,2717.32,2319.37,1959.29,1649.50,1296.84
天津,,3627.18,3280.42,2729.83,3152.55,3151.35,3555.71,3103.16,3282.54,3699.43,3232.35,2884.70,2549.21,2143.21,1796.33,1376.84,1124.28,867.72,674.33,543.12
石家庄,,1274.69,1274.83,1250.43,1152.74,1142.23,1051.39,991.61,806.73,746.12,682.39,566.49,522.94,464.09,403.54,305.16,240.92,193.79,163.17,128.25
太原,,744.38,777.26,715.90,628.99,647.34,610.55,542.46,479.06,424.07,419.99,322.69,319.11,277.44,239.31,189.64,159.91,152.86,155.80,95.42
呼和浩特,,581.61,592.97,420.98,420.75,438.57,417.92,356.74,403.04,419.97,360.65,310.91,294.84,275.32,255.67,177.28,165.16,133.18,100.51,75.50
沈阳,,1160.69,1084.06,1053.59,1032.50,1074.05,1047.65,965.44,855.02,825.39,808.58,914.37,881.28,766.09,639.29,516.62,475.88,406.74,339.68,268.76
大连,,1085.14,1013.50,991.08,980.05,1001.98,1016.28,1001.49,919.84,870.28,910.69,989.46,1083.54,890.96,734.94,611.47,471.16,410.00,344.57,266.52
长春,,1056.21,1074.97,976.67,966.49,1084.14,896.02,894.34,875.73,770.57,765.72,675.84,632.97,555.51,518.68,382.93,306.01,240.33,181.56,146.67
哈尔滨,,1257.56,1080.70,,992.08,1162.25,1101.14,962.17,958.47,876.29,824.84,740.08,709.78,643.58,557.14,452.97,348.41,301.27,232.38,194.68
上海,,9874.84,9638.51,9393.00,8430.86,8102.11,8179.28,8351.54,7547.62,6918.94,6191.56,4923.44,4528.61,4184.02,3914.88,3302.89,2989.65,2593.92,2181.68,1795.57
南京,,1705.26,1838.70,1828.69,1817.73,1754.62,1658.07,1532.72,1354.09,1173.84,1045.57,921.20,850.91,769.66,666.21,542.18,461.27,404.67,342.94,262.46
杭州,,2690.35,2636.23,2542.09,2392.04,2069.66,1952.85,1717.08,1540.92,1404.31,1205.48,961.18,855.74,786.28,747.51,616.58,490.40,419.67,335.72,275.48
宁波,,2230.37,2235.09,2187.81,1944.42,1742.09,1767.89,1594.10,1410.60,1289.26,1252.64,1000.86,939.89,828.44,750.72,600.74,506.08,439.41,371.04,292.70
合肥,,1581.06,1411.34,1380.18,1223.72,1164.35,1122.67,1004.91,965.34,859.85,772.66,698.79,630.89,572.10,474.89,317.72,245.86,222.25,167.08,102.89
福州,,1025.48,1004.90,1006.09,925.26,951.40,949.76,924.76,938.86,829.93,725.93,574.81,533.84,410.73,363.30,262.42,205.09,178.20,143.09,110.06
厦门,,1059.20,1084.65,1088.74,1060.00,976.91,912.98,892.50,797.10,758.64,651.17,548.25,516.74,460.98,389.07,306.95,268.05,238.09,198.66,159.13
南昌,,940.07,925.55,939.04,870.01,838.17,834.11,752.41,653.12,583.26,543.18,473.16,419.37,345.51,299.37,232.03,181.75,148.17,116.86,93.37
济南,,1397.15,1365.29,1225.57,1293.08,1288.80,1197.32,1018.25,834.06,741.26,658.18,571.41,519.32,465.67,396.88,336.80,259.92,221.32,179.98,146.98
青岛,,1720.42,1718.80,1696.17,1706.76,1584.65,1575.97,1559.78,1403.03,1352.85,1222.87,1074.71,1014.23,765.98,658.06,532.39,433.58,369.41,321.18,236.79
郑州,,1525.71,1519.62,1456.41,1624.44,1720.18,1910.67,1763.34,1514.95,1321.53,1106.02,918.51,816.16,700.70,566.58,426.80,353.05,289.50,240.68,187.66
武汉,,2481.00,2204.08,2223.15,2215.97,2407.81,2237.10,1929.31,1728.28,1524.68,1338.05,1175.10,1122.88,885.55,765.04,583.55,503.64,377.88,307.23,257.81
长沙,,1663.94,1626.83,1566.26,1541.59,1501.23,1425.98,1300.79,1182.60,1041.43,925.00,802.38,701.82,624.62,520.89,403.33,314.08,260.56,218.17,167.19
广州,,2782.50,2971.65,3022.45,3021.18,2952.65,2865.33,2506.18,2186.01,1943.75,1727.72,1436.22,1386.13,1343.65,1181.25,977.32,789.92,713.35,623.69,506.79
深圳,,4700.87,5012.07,4997.38,4570.22,4177.72,4552.73,4282.54,4593.80,4211.04,3521.67,2166.14,1690.83,1565.71,1590.56,1265.27,1000.84,889.86,727.96,571.42
南宁,,796.99,816.48,838.93,778.00,819.86,789.20,697.99,646.37,586.98,526.72,465.78,418.40,376.51,302.31,261.28,203.55,166.08,118.00,93.08
海口,,372.07,369.54,332.68,274.26,307.08,265.86,238.25,198.32,200.30,170.93,150.92,132.00,113.85,99.43,78.99,66.61,46.79,43.21,32.25
重庆,,5621.21,5304.56,4892.77,4835.06,4893.95,4847.68,4540.95,4336.28,4001.81,3792.00,3304.39,3062.28,3046.36,2570.24,1709.04,1292.09,1016.01,768.39,594.25
成都,,2610.39,2586.83,2435.01,2237.69,2159.48,2006.95,1837.42,1756.66,1595.89,1468.42,1340.00,1161.75,983.85,857.87,777.38,600.97,506.43,356.05,252.24
贵阳,,693.05,778.61,727.45,633.41,678.16,718.82,624.22,582.48,525.26,503.52,448.63,393.60,349.33,277.38,204.38,169.84,142.28,106.43,88.23
昆明,,842.85,837.79,863.32,928.16,875.05,820.86,756.80,775.90,688.40,615.49,593.66,585.76,525.54,441.73,346.31,,233.49,164.65,133.68
