数据库：主要城市年度数据
指标：地方一般公共预算收入(亿元)
时间：最近20年
地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京,,6372.68,6181.10,5714.36,5932.31,5483.89,5817.10,5785.92,5430.79,5081.26,4723.86,4027.16,3661.11,3314.93,3006.28,2353.93,2026.81,1837.32,1492.64,1117.15
天津,,2134.20,2027.51,1846.69,2141.06,1923.11,2410.41,2106.24,2310.36,2723.50,2667.11,2390.35,2079.07,1760.02,1455.13,1068.81,821.99,675.62,540.44,417.05
石家庄,,746.08,737.89,692.16,681.36,632.19,569.13,519.68,460.89,410.72,375.05,343.47,315.12,272.28,221.23,163.63,125.96,110.04,95.87,77.37
太原,,440.26,449.24,437.48,423.44,378.44,386.62,373.23,311.85,282.69,274.24,258.85,247.33,215.67,174.72,138.48,117.53,116.92,88.42,75.33
呼和浩特,,255.12,238.06,230.87,228.92,217.10,203.12,204.72,201.50,269.65,247.40,211.54,182.02,178.64,151.43,126.76,106.79,82.25,57.96,45.52
沈阳,,825.58,800.85,713.67,773.02,736.08,730.29,720.64,656.24,620.95,606.24,785.50,801.00,715.04,620.12,465.35,320.21,291.04,230.81,175.63
大连,,774.77,750.24,669.77,737.60,702.68,692.84,703.99,657.64,611.90,579.91,780.86,850.16,750.11,651.13,500.83,400.23,339.07,267.98,196.14
长春,,427.48,576.52,459.69,617.09,440.43,420.02,478.01,450.08,415.49,388.22,397.32,381.82,340.80,288.63,180.85,142.65,119.03,93.30,71.59
哈尔滨,,337.84,313.07,,365.81,339.57,370.91,384.37,368.10,376.24,407.73,423.52,402.28,354.72,300.32,238.14,193.36,164.01,132.05,118.29
上海,,8374.17,8312.50,7608.00,7771.80,7046.30,7165.10,7108.15,6642.26,6406.13,5519.50,4585.55,4109.51,3743.71,3429.83,2873.58,2540.30,2358.75,2074.48,1576.07
南京,,1596.02,1619.98,1558.21,1729.52,1637.70,1580.03,1470.02,1271.91,1142.60,1020.03,903.49,831.31,733.02,635.00,518.80,434.51,386.56,330.19,246.44
杭州,,2640.33,2616.81,2450.61,2386.59,2093.39,1965.97,1825.06,1567.42,1402.38,1233.88,1027.32,945.20,859.99,785.15,671.34,520.79,455.35,391.62,301.39
宁波,,1790.47,1785.86,1680.23,1723.14,1510.84,1468.51,1379.69,1245.29,1114.54,1006.41,860.61,792.81,725.50,657.55,530.93,432.80,390.39,329.12,257.38
合肥,,955.01,929.63,909.25,844.22,762.90,745.99,712.49,655.90,614.85,571.54,500.34,438.62,389.50,338.51,259.43,180.90,222.08,169.32,79.40
福州,,750.50,754.08,698.52,749.85,675.61,668.08,680.38,634.16,598.91,560.46,510.87,453.97,382.02,320.04,247.82,195.26,168.86,146.56,115.62
厦门,,933.35,932.14,883.81,880.96,783.94,768.38,754.54,696.87,647.94,606.10,543.80,490.60,422.91,370.77,289.17,240.56,220.23,186.53,136.17
南昌,,526.21,500.18,457.68,484.83,483.86,477.00,461.75,417.08,402.18,389.34,342.21,291.91,240.02,187.03,146.47,115.88,102.15,87.22,68.11
济南,,1083.05,1060.82,1001.14,1007.61,906.08,874.19,752.82,677.21,641.22,614.32,543.13,482.07,380.82,325.42,266.13,210.19,186.02,157.02,128.44
青岛,,1339.26,1337.86,1273.31,1368.30,1253.85,1241.74,1231.91,1157.24,1100.03,1006.32,895.25,788.93,670.18,566.14,452.61,377.01,342.44,292.80,225.99
郑州,,1155.04,1165.85,1130.79,1223.63,1259.21,1222.53,1152.06,1056.67,1011.18,942.90,833.88,723.61,606.65,502.32,386.80,301.92,260.39,219.52,176.03
武汉,,1667.31,1601.20,1504.74,1578.65,1230.29,1564.12,1528.70,1402.93,1322.10,1245.63,1101.02,978.52,828.58,673.26,390.19,316.07,277.32,221.68,178.60
