数据库：主要城市年度数据
指标：地区生产总值（当年价格）(亿元)
时间：最近20年
地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京,49670.20,47353.70,45222.40,44350.70,38503.60,37767.00,35161.40,31325.90,28438.70,26034.10,23577.50,21746.00,19568.30,17653.30,15420.20,13335.70,12167.60,10730.40,8618.90
天津,17931.30,17211.80,16588.50,16093.20,14230.80,14097.20,13411.10,12468.20,11487.00,10889.20,10749.20,10075.20,9193.00,8240.80,6991.60,5828.60,5278.30,4229.80,3592.50
石家庄,8203.44,7534.00,7100.64,6490.30,5935.00,5810.00,6082.62,6460.88,5927.73,5440.60,5170.27,4863.66,4500.20,4082.68,3401.00,3001.00,2838.37,2360.72,2026.63
太原,5418.87,5574.00,5571.17,5121.61,4153.00,4029.00,3884.48,3382.18,2955.60,2735.34,2531.09,2412.87,2311.40,2080.12,1778.10,1545.00,1468.09,1254.94,1013.65
呼和浩特,4107.08,3802.00,3329.10,3121.43,2801.00,2791.00,2903.50,2743.72,3173.59,3090.52,2894.05,2710.39,2475.60,2177.27,1865.70,1644.00,1316.37,1101.13,900.08
沈阳,9027.14,8122.00,7695.80,7249.00,6572.00,6470.00,6292.40,5864.97,5546.45,7272.31,7098.71,7158.57,6602.60,5915.71,5017.50,4269.00,3860.47,3221.15,2519.63
大连,9516.87,8753.00,8430.95,7825.95,7030.00,7002.00,7668.48,7363.92,6810.20,7731.64,7655.58,7650.79,7002.80,6150.63,5158.20,4350.00,3858.25,3130.68,2569.67
长春,7632.19,7002.00,6744.56,7103.10,6638.00,5904.00,7175.71,6530.03,5986.42,5530.03,5342.43,5003.18,4456.60,4003.08,3329.00,2849.00,2561.90,2089.09,1741.19
哈尔滨,6016.33,5576.00,5490.10,5351.66,5184.00,5249.00,6300.48,6355.05,6101.61,5751.21,5340.07,5017.05,4550.20,4242.19,3664.90,3175.00,2868.19,2436.80,2094.08
上海,53759.50,51404.50,48594.50,47059.40,41603.90,40241.20,37769.10,34378.30,30963.90,27821.60,25964.50,23809.40,21774.90,20406.10,18319.60,16181.40,14877.10,13179.80,10825.40
南京,18500.81,17421.00,16907.85,16356.00,14818.00,14031.00,12820.40,11715.10,10503.02,9720.77,8820.75,8011.78,7201.60,6145.52,5130.70,4230.00,3775.00,3283.73,2773.78
杭州,21860.32,20059.00,18753.07,18109.42,16106.00,15373.00,13509.15,12603.36,11313.72,10050.21,9206.16,8343.52,7802.00,7019.06,5949.20,5088.00,4781.16,4100.17,3441.51
宁波,18147.70,16453.00,15704.30,14594.92,12409.00,11985.00,10745.46,9842.10,8686.49,8003.61,7610.28,7128.87,6582.20,6059.24,5163.00,4329.00,3964.05,3435.00,2874.44
合肥,13507.69,12674.00,12013.10,11412.80,10046.00,9409.00,7822.91,7213.45,6274.38,5660.27,5157.97,4672.91,4164.30,3636.60,2701.60,2102.00,1664.84,1334.61,1073.76
福州,14236.76,12928.00,12308.23,11324.48,10020.00,9392.00,7856.81,7103.40,6197.64,5618.08,5169.16,4678.50,4218.30,3736.38,3123.40,2604.00,2284.16,1974.58,1664.05
厦门,8589.01,8066.00,7802.66,7033.89,6384.00,5995.00,4791.41,4351.70,3784.27,3466.03,3273.58,3018.16,2817.10,2539.31,2060.10,1737.00,1560.02,1387.85,1168.02
南昌,7800.37,7213.00,7203.50,6650.53,5746.00,5596.00,5274.67,5003.19,4354.99,4000.01,3667.96,3336.03,3000.50,2688.87,2200.10,1838.00,1660.08,1389.89,1183.90
济南,13527.55,12757.00,12027.46,11432.22,10141.00,9443.00,7856.56,7201.96,6536.12,6100.23,5770.60,5230.19,4803.70,4406.29,3910.50,3351.00,3017.42,2562.81,2185.09
青岛,16719.46,15760.00,14920.75,14136.00,12401.00,11741.00,12001.52,11037.28,10011.29,9300.07,8692.10,8006.60,7302.10,6615.60,5666.20,4854.00,4436.18,3786.52,3206.58
郑州,14532.07,13618.00,12934.70,12691.02,12004.00,11590.00,10143.32,9130.20,8113.97,7311.52,6776.99,6201.90,5549.80,4979.85,4040.90,3308.00,3003.99,2486.75,2013.48
武汉,21106.23,20012.00,18866.43,17716.76,15616.00,16223.00,14847.29,13410.34,11912.61,10905.60,10069.48,9051.27,8003.80,6762.20,5565.90,4621.00,3960.08,3141.90,2590.76
长沙,15268.78,14332.00,13966.11,13270.70,12143.00,11574.00,11003.41,10535.51,9356.91,8510.13,7824.81,7153.13,6399.90,5619.33,4547.10,3745.00,3000.98,2190.25,1798.96
广州,31032.50,30356.00,28839.00,28231.97,25019.00,23629.00,22859.35,21503.15,19547.44,18100.41,16706.87,15420.14,13551.20,12423.44,10748.30,9138.00,8215.82,7109.18,6073.83
深圳,36801.87,34606.00,32387.68,30664.85,27670.00,26927.00,24221.98,22490.06,19492.60,17502.86,16001.82,14500.23,12950.10,11505.53,9581.50,8201.00,7806.54,6801.57,5813.56
南宁,5995.36,5469.00,5218.35,5120.94,4726.00,4507.00,4026.91,4118.83,3703.33,3410.09,3148.30,2803.54,2503.20,2211.40,1800.30,1525.00,1316.21,1069.01,870.15
