数据库：主要城市年度数据
指标：住户存款余额(亿元)
时间：最近20年
地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京,,70398.15,64020.36,56915.76,47184.31,42888.77,37309.68,34018.96,28962.20,28012.03,23913.97,24158.40,23086.41,21644.90,19126.14,17003.11,14672.10,11952.84,9155.34,8705.60
天津,,24069.63,21996.82,19211.25,16244.12,14865.71,12639.64,10746.17,9558.05,9125.38,8743.79,7916.90,7612.31,7055.40,6123.08,5558.23,4885.86,3978.04,3083.07,2808.10
石家庄,,14831.04,13553.97,11671.06,9858.04,8774.58,7630.02,6473.25,5641.62,5348.20,4868.93,4387.67,4157.60,3735.50,3243.58,2920.40,2567.46,2180.17,1694.72,1553.24
太原,,9741.20,8825.19,7761.93,6566.40,5896.93,5252.08,4767.46,4384.88,3661.76,3432.12,3325.78,3307.99,3021.50,2775.57,2386.79,2085.00,1728.92,1307.24,1183.95
呼和浩特,,3771.45,3903.70,3372.46,2893.10,2623.75,2391.64,2174.09,1953.41,1866.01,1683.96,1480.88,1414.62,1243.27,1053.68,929.81,775.89,640.56,511.38,453.08
沈阳,,15132.00,13894.74,12473.97,11057.27,10329.86,8337.61,7288.14,6495.25,6145.55,5769.30,5147.63,4765.48,4318.84,3729.47,3338.23,2948.54,2471.78,1967.83,1921.98
大连,,12401.49,11390.73,10070.22,8686.07,7843.76,6842.29,6039.97,5414.50,5277.66,5107.89,4666.71,4483.77,4160.47,3672.21,3374.82,2930.65,2388.97,1836.99,1866.49
长春,,11746.76,10750.14,9465.28,8257.53,6896.30,5889.09,4993.24,4566.99,4218.09,3792.78,3380.11,3107.16,2767.38,2337.78,2062.72,1834.16,1507.39,1202.08,1174.60
哈尔滨,,12056.26,11005.59,9645.65,8187.20,7311.39,6291.84,5394.26,4938.37,4671.90,4370.42,3768.82,3593.56,3320.67,2896.57,2580.14,2249.55,1916.76,1541.10,1563.83
上海,,63910.99,58319.93,52638.00,41150.40,36733.97,31727.73,27071.74,24338.48,23639.80,23384.73,21269.30,20486.25,19506.70,17288.45,15650.24,13707.32,11464.15,8745.22,8730.00
南京,,17091.85,15228.95,13078.05,10636.78,9499.25,8299.64,6914.84,6019.70,5894.47,5535.53,5055.77,4883.29,4465.37,3910.20,3511.85,3056.35,2505.33,1951.16,1834.88
杭州,,25545.54,23199.39,19598.76,15623.01,14193.63,11677.34,9981.24,8502.96,8313.13,7507.09,6694.55,6339.75,6022.08,5519.17,4990.97,4286.92,3420.65,2578.78,2473.69
宁波,,16255.52,14282.01,11749.75,9387.31,8522.07,7475.47,6561.26,5902.68,5689.44,5302.84,4780.31,4562.36,4175.96,3696.28,3312.17,2901.76,2365.15,1856.08,1752.04
合肥,,10785.84,9387.14,7958.04,6394.14,5589.40,4667.22,4003.41,3489.18,3281.26,3018.54,2539.50,2355.77,2065.57,1689.54,1233.73,1031.81,852.83,673.09,624.56
福州,,11461.16,10414.64,9029.08,7493.04,6951.54,6027.11,5053.29,4385.30,4087.54,3685.23,3483.72,3296.65,2939.46,2550.77,2329.09,2048.27,1709.90,1375.37,1311.38
